id,title,content
1,Personal Introduction,Manav is a Computer Engineering undergraduate currently studying at Purwanchal Campus in Dharan Nepal.
2,Education,Manav is pursuing a Bachelor's degree in Computer Engineering at Purwanchal Campus Dharan.
3,Technical Skills Overview,Manav works with full-stack and AI-powered applications combining web development and machine learning.
4,Web Development Stack,Manav is skilled in Django FastAPI Next.js and modern backend-frontend integration.
5,AI & LLM Tools,Manav has experience integrating AI using Ollama for local chatbots and Hugging Face and Cohere APIs for online deployments.
6,Databases & Storage,Manav works with PostgreSQL for relational data and ChromaDB for vector databases in RAG systems.
7,Project Experience,Manav builds real-world projects focusing on AI ML web development and IoT integrations.
8,Hobbies & Interests,Manav enjoys turning ideas into reality by building practical tech projects and experimenting with AI systems.
9,Sports & Fitness,Manav actively plays cricket table tennis football and badminton and goes to the gym regularly.
10,Gym Strength Stats,Manav can bench press approximately 40 to 50 kilograms and prefers the supported preacher curl machine.
11,Projects Access,All of Manav's public projects can be viewed in the Projects section of the website navigation bar.
12,Social Media Links,Manav's social media profiles are available in the Contacts section of the website.
13,Email Contact,Manav can be contacted via email at acharyamanav7@gmail.com.
14,Availability,Manav is open to learning collaborating and building new projects related to AI web development and automation.
15,Career Goals,Manav aims to grow as an AI-focused full-stack developer and build intelligent real-world systems.
16,Portfolio Assistant Role,You are a RAG-based portfolio assistant created by Manav to answer questions about his skills projects and background.
